"","iid","tr","ID_tr.x","begin.x","end.x","duration.x","belief_cost.x","kwh_led.x","kwh_cfl.x","yuan.x","belief_carbon.x","relative_1.x","relative_2.x","q1.x","q2.x","q3.x","q4.x","q5.x","q6.x","q7.x","q8.x","q9.x","q10.x","q11.x","q12.x","q13.x","q14.x","q15.x","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income.x","home.x","own_bulb.x","w_price.x","w_life.x","w_energy.x","w_carbon.x","w_light.x","w_hg.x","cc_belief.x","cc_support_1.x","cc_support_2.x","cc_support_3.x","cc_support_4.x","cc_support_5.x","cc_support_6.x","cc_action_1.x","cc_action_2.x","cc_action_3.x","cc_action_4.x","ideal.x","purpose.x","purpose_other.x","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2","ID_tr.y","begin.y","end.y","duration.y","地理位置国家和地区","地理位置省","地理位置市","belief_cost.y","kwh_led.y","kwh_cfl.y","yuan.y","belief_carbon.y","relative_1.y","relative_2.y","q1.y","q2.y","q3.y","q4.y","q5.y","q6.y","q7.y","q8.y","q9.y","q10.y","q11.y","q12.y","q13.y","q14.y","q15.y","income.y","home.y","own_bulb.y","w_price.y","w_life.y","w_energy.y","w_carbon.y","w_light.y","w_hg.y","cc_belief.y","cc_support_1.y","cc_support_2.y","cc_support_3.y","cc_support_4.y","cc_support_5.y","cc_support_6.y","cc_action_1.y","cc_action_2.y","cc_action_3.y","cc_action_4.y","ideal.y","purpose.y","purpose_other.y","switch_1_new"
"13","o34xe0_4eljG0CX9ntEKzHwWGtB0","E",261,"2021/1/7 17:45","2021/1/7 17:48",154,2,90,90,0,1,6,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,30,3,2,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,2,2,3,8,"",2,2,1,2,2,2,"中国","广东省","深圳市","A.男",27,"E.硕士及以上",30,34,4,"2021/2/5 17:08","2021/2/5 17:09",45,"中国","广东省","深圳市",3,23,23,1,1,3,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,10,2,2,1,2,2,2,3,1,2,2,3,3,2,3,2,2,2,2,1,1,7,"",10
"14","o34xe0_4rU7e7KNZJ_KMq3GE1fos","E",447,"2021/1/8 6:24","2021/1/8 6:32",460,2,22,86,50,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,1,3,2,1,1,1,1,1,1,2,2,2,2,3,1,1,1,2,5,2,"",2,3,2,1,2,2,"中国","河北省","石家庄市","A.男",37,"D.大学本科",62,62,1227,"2021/2/5 18:04","2021/2/5 18:12",481,"中国","河北省","石家庄市",2,50,90,50,2,NA,5,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,4,9,"",50
"15","o34xe0_5kIyPlomaaa6mE1yWmY8w","E",103,"2021/1/7 17:17","2021/1/7 17:25",461,3,240,260,50,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,1,3,2,2,2,3,2,1,2,2,2,2,2,2,1,2,1,3,4,9,"",2,2,2,2,2,2,"中国","陕西省","","A.男",44,"D.大学本科",14,62,212,"2021/2/5 17:10","2021/2/5 17:13",179,"中国","山西省","临汾市",1,200,150,500,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,3,2,1,1,3,1,1,2,2,2,2,2,2,1,1,1,3,3,3,"",6
"16","o34xe0_65EbeWhR4CEdiz0LxASDM","E",160,"2021/1/7 17:20","2021/1/7 17:30",552,3,86.4,80,10,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,1,1,1,2,1,2,1,2,2,2,2,3,1,2,1,2,5,2,"",3,3,2,2,2,2,"中国","广西壮族自治区","南宁市","B.女",26,"D.大学本科",2,62,1402,"2021/2/5 18:53","2021/2/5 18:57",254,"中国","北京市","北京市",2,80,84,50,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1,3,5,2,"",34
"17","o34xe0_6kV4d-L6iJbaB3X0wDONs","C",381,"2021/1/7 19:07","2021/1/7 19:17",609,2,300,350,50,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,2,2,3,3,2,3,2,2,2,2,2,3,1,2,1,2,2,8,"",1,2,2,2,2,2,"中国","福建省","泉州市","A.男",39,"B.高中/中专/技校",62,62,1232,"2021/2/5 18:09","2021/2/5 18:13",268,"中国","福建省","福州市",2,20,30,10,2,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10000,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,8,"",62
"18","o34xe0_7bcy7pZnY6zjx6zmF2_j8","M",49,"2021/1/7 17:19","2021/1/7 17:21",111,2,0.3,60,50,1,5,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,9,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,5,"",3,1,3,1,2,4,"中国","山东省","","A.男",37,"B.高中/中专/技校",2,30,1072,"2021/2/5 17:48","2021/2/5 17:50",108,"中国","山东省","",3,3,3,5,1,2,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,10,4,1,2,2,2,2,1,1,4,1,2,3,1,4,4,3,2,1,4,2,9,"",10
"19","o34xe0_82VndhS_QNZAZCBboAh7g","M",248,"2021/1/7 17:39","2021/1/7 17:47",466,1,14,12,2,1,6,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,7,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,3,5,9,"",3,4,2,2,2,2,"中国","安徽省","合肥市","B.女",29,"D.大学本科",14,18,533,"2021/2/5 17:11","2021/2/5 17:19",453,"中国","安徽省","合肥市",2,30,23,70,1,6,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,6,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,5,8,"",22
"22","o34xe0_8vsw6B3Yp2ZHvR2foVOdQ","E",349,"2021/1/7 18:20","2021/1/7 18:32",689,2,87.6,87.652,52,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,5,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,6,11,"提高环境保护意识",1,1,1,1,1,1,"中国","广东省","","A.男",38,"B.高中/中专/技校",62,62,2088,"2021/2/7 20:25","2021/2/7 20:35",634,"中国","广东省","",2,87.6,87.6,52,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,"",62
"23","o34xe0_8yjdiTA7LBIFi2awN7fdg","M",104,"2021/1/7 17:20","2021/1/7 17:25",307,2,20,20,900,1,9,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,10,1,1,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,"",1,1,1,1,1,1,"中国","江苏省","南京市","A.男",38,"D.大学本科",38,42,2119,"2021/2/8 13:21","2021/2/8 13:24",197,"中国","江苏省","盐城市",2,20,20,180,2,NA,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,6,"",38
"24","o34xe0_8ZNgKboFFW0iowFieyTdA","C",353,"2021/1/7 18:33","2021/1/7 18:39",348,2,1080,720,150,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,1,2,3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,6,5,"",1,1,1,1,1,1,"中国","江苏省","苏州市","A.男",37,"C.大学专科",10,34,2039,"2021/2/7 18:04","2021/2/7 18:05",112,"中国","江苏省","苏州市",2,158,183,587,2,NA,2,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7,1,2,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,6,9,"",42
"25","o34xe0_a_DigPCJyZPM1ZlQUTIvg","C",42,"2021/1/7 17:17","2021/1/7 17:21",242,2,1,300,80,2,NA,7,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,3,5,"",1,1,1,1,1,1,"中国","江苏省","","A.男",28,"C.大学专科",62,62,2032,"2021/2/7 18:01","2021/2/7 18:03",135,"中国","江苏省","",2,200,200,200,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,4,9,"",62
"28","o34xe0_B-vq_9_E2RH7y1UMa_8EI","C",379,"2021/1/7 19:12","2021/1/7 19:17",270,2,600,500,100,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,4,7,"",1,1,1,1,1,1,"中国","广东省","","B.女",37,"B.高中/中专/技校",62,62,1045,"2021/2/5 17:11","2021/2/5 17:47",2150,"中国","江西省","",2,720,600,200,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,4,3,"",62
"29","o34xe0_BafZpE6YfYZe8eqOwGzNo","E",311,"2021/1/7 18:06","2021/1/7 18:10",237,2,69,78,130,2,NA,5,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,4,9,"",1,1,2,2,2,1,"中国","河北省","廊坊市","B.女",38,"C.大学专科",42,38,457,"2021/2/5 17:14","2021/2/5 17:17",188,"中国","河北省","廊坊市",2,39,20,180,2,NA,4,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,4,1,"",50
"30","o34xe0_BE-ll8zBg0J2lNdTvoj90","E",133,"2021/1/7 17:21","2021/1/7 17:27",378,1,120,100,10,1,8,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,9,"",2,2,2,2,2,2,"中国","广东省","","B.女",28,"B.高中/中专/技校",14,14,724,"2021/2/5 17:13","2021/2/5 17:25",738,"中国","广东省","",2,30,35,4,2,NA,6,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,4,9,"",62
"31","o34xe0_BRVv_zOPT3WCwI61nYzqk","M",342,"2021/1/7 18:31","2021/1/7 18:38",401,1,60,30,50,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,1,4,2,1,1,2,1,2,1,2,2,2,2,4,2,1,1,1,1,6,9,"",1,2,2,2,2,2,"新西兰","","","B.女",28,"D.大学本科",14,14,346,"2021/2/5 17:12","2021/2/5 17:15",185,"新西兰","","",1,100,50,100,1,5,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,15,1,2,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,9,"",6
"33","o34xe0_cLlf60CSbZqC1Jx_3D5gI","E",234,"2021/1/7 17:41","2021/1/7 17:42",103,2,90,120,150,2,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,"",1,1,1,1,1,1,"中国","江苏省","","B.女",41,"E.硕士及以上",62,62,1056,"2021/2/5 17:47","2021/2/5 17:48",98,"中国","江苏省","",1,120,60,100,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1e+05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,"",62
"34","o34xe0_CXZlKlrM6eHmZaXwqp_QA","E",432,"2021/1/7 21:33","2021/1/7 21:47",879,1,40,60,20,2,NA,4,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4.2,1,4,1,2,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,4,9,"",2,2,2,2,2,3,"中国","四川省","","B.女",29,"D.大学本科",34,34,1323,"2021/2/5 18:10","2021/2/5 18:36",1554,"中国","北京市","北京市",2,365,600,235,2,NA,4,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,1,1,1,1,2,3,2,2,1,1,1,2,2,2,2,2,2,2,2,4,9,"",34
"35","o34xe0_D5E9mdZ3BJjckxDjNPFaA","E",19,"2021/1/7 17:17","2021/1/7 17:20",190,2,240,240,240,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,4,4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,6,1,"",2,2,2,2,2,2,"中国","浙江省","","B.女",46,"D.大学本科",14,14,51,"2021/2/5 17:08","2021/2/5 17:10",123,"中国","浙江省","",2,20,20,200,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,"",62
"37","o34xe0_dZH3l3fOtFOd6j52gZ0RM","M",317,"2021/1/7 17:49","2021/1/7 18:21",1889,3,50,40,80,2,NA,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,8,2,1,3,1,1,2,1,1,3,2,3,3,4,4,4,2,3,2,3,4,11,"碳排放",1,3,2,1,2,1,"中国","广西壮族自治区","","A.男",31,"B.高中/中专/技校",58,6,1953,"2021/2/7 12:32","2021/2/7 12:48",995,"中国","北京市","北京市",2,85,110,40,2,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,1,4,2,2,2,3,3,3,3,2,4,3,3,4,4,3,3,2,3,4,5,"",46
"39","o34xe0_e7pCJvJzsvrytq-YK_weg","M",146,"2021/1/7 17:27","2021/1/7 17:30",140,2,90,120,15,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,1,4,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,4,9,"",1,2,2,2,1,2,"中国","浙江省","","A.男",24,"D.大学本科",14,14,867,"2021/2/5 17:31","2021/2/5 17:34",162,"中国","浙江省","",1,180,100,60,1,6,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,8,1,2,2,3,2,3,2,3,1,2,2,2,2,2,2,1,1,2,2,4,9,"",30
"40","o34xe0_E7RVJILpzo-9V7II_oeis","E",267,"2021/1/7 17:46","2021/1/7 17:50",228,2,20,20,50,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,60,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9,"",2,2,2,2,2,2,"中国","山东省","","B.女",37,"C.大学专科",62,62,313,"2021/2/5 17:13","2021/2/5 17:14",97,"中国","山东省","",1,300,200,200,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,"",62
