id_in_round,period,iid,Tr_match,duration,ori_time,IP,round1_q1,round1_q2,round1_q3,round1_q4,round1_q5,round1_q6,round2_q1,round2_q2,round2_q3,round2_q4,round2_q5,round2_q6,info_aware,round3_q1,round3_q2,round3_q3,round3_q4,round3_q5,round3_q6,bulbs,cost_aware,weight_price,weight_life,weight_cost,weight_warmth,weight_hg1,weight_hg2,cost_attention,six_1,six_2,six_3,six_4,six_5,six_6,six_7,six_8,six_9,six_10,six_11,six_12,six_13,six_14,six_15,six_16,six_17,six_18,six_19,six_20,six_21,six_22,six_23,six_24,six_25,six_26,six_27,six_28,six_29,six_30,six_31,risk,income,age,gender,occupation,marriage,kids,degree,Tr,post_dummy,eng_prov,eng_town,follow_dummy,fresh_dummy,receive_type,in_use,recommend,high.WTP,price_aware,act_purchase,relation,act_label,act_Eemode,act_TVoff,act_lightoff,act_EEcar,factor_6_ordered,X,switch_1,switch_2,switch_3,info_Tr,belief.in.CC,men.resp.CC,impacts.CC,urgency.CC,civil.CC,habits.CC,purchase.CC,taxes.CC,coop.CC,standards.CC,test.1,test.2,test.3,self.1,self.2,self.3,belief.in.CC.1,men.resp.CC.1,impacts.CC.1,urgency.CC.1,civil.CC.1,habits.CC.1,purchase.CC.1,taxes.CC.1,coop.CC.1,standards.CC.1,pm_0,pm_0_max,pm_daylight,pm_hour,pm_365mean
11,3,11,W2R1,566,2007/4/17 17:54,220.184.100.92,2,-3,1,-3,-3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,4,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,zhejiang,hangzhou,1,NA,2,1,9,NA,NA,1,10,1,1,1,1,1,NA,NA,14,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.25,16,14.7,16,43.53258642
12,3,12,W2R1,422,2007/4/17 18:50,112.2.4.140,2,-3,2,-3,-3,-3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,3,2,2,3,1,2,2,1,2,2,1,2,2,1,2,1,3,2,1,3,1,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,jiangsu,nanjing,1,NA,1,1,8,NA,NA,1,6,1,2,1,2,1,NA,NA,6,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.16666667,16,12,16,41.15761679
13,3,13,W2R1,375,2007/5/17 7:58,117.136.45.45,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,1,2,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,0,jiangsu,suzhou,1,NA,1,1,9,NA,NA,1,7,1,1,1,1,1,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.04166667,35,27.1,29,43.14460223
14,3,14,W2R1,521,2007/4/17 18:09,153.35.23.168,2,-3,1,-3,-3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,3,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,jiangsu,wuxi,1,NA,1,1,8,NA,NA,2,-3,2,2,2,2,1,NA,NA,14,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.29166667,36,11.3,17,46.5296681
15,3,15,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,fujian,zhangzhou,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,16,W2R1,930,2007/8/17 9:58,221.235.224.92,2,-3,2,-3,-3,-3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,3,1,1,1,1,1,4,3,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,hubei,wuhan,1,NA,1,1,8,NA,NA,1,8,1,1,1,1,1,NA,NA,6,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.39130435,22,14,17,52.83445238
17,3,17,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,shanghai,huangzhou,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3,18,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,shandong,zibo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,3,19,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,jiangsu,xuzhou,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,3,20,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,guangdong,shenzhen,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,21,W2R1,1286,2007/5/17 10:00,219.131.197.194,2,-3,1,-3,-3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,3,2,2,2,1,2,3,2,2,3,2,2,3,2,2,2,3,2,2,2,3,3,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,hainan,danzhou,1,NA,1,2,8,NA,NA,2,-3,1,1,1,2,1,NA,NA,10,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.333333333,13,9.6,9,19.70009954
22,3,22,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,heilongjiang,qitaihe,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,3,23,W2R1,329,2007/6/17 8:48,218.24.13.34,1,2,-3,-3,2,-3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,3,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NOW,0,liaoning,anshan,1,NA,2,1,11,NA,NA,1,11,1,1,2,1,1,NA,NA,18,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.72727273,49,14.125,17,53.37029322
24,3,24,W2R1,661,2007/4/17 19:52,123.82.184.189,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,3,3,2,3,3,4,2,3,3,2,2,3,2,2,3,3,4,3,2,2,2,3,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NOW,0,fujian,nanping,1,NA,-3,-3,6,NA,NA,1,8,2,2,3,2,2,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.666666667,17,11.2,17,22.33279116
25,3,25,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,sichuan,chengdu,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,3,26,W2R1,636,2007/5/17 9:16,111.227.233.127,1,2,-3,-3,2,-3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,3,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,hebei,qinhuangdao,1,NA,1,1,11,NA,NA,1,10,1,1,1,2,1,NA,NA,18,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.66666667,65,23.2,34,49.34666387
27,3,27,W2R1,538,2007/4/17 22:45,112.254.136.158,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,4,4,1,1,1,2,2,1,1,4,4,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,shandong,qingdao,1,NA,1,1,10,NA,NA,1,8,1,1,1,1,1,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.04166667,44,34.4,43,40.92667075
28,3,28,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,guangdong,dongguan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,3,29,W2R1,537,2007/6/17 19:39,211.161.242.140,1,2,-3,-3,1,-3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,1,2,2,3,1,2,3,3,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,shanghai,putuo,1,NA,1,1,11,NA,NA,1,6,1,2,1,1,2,NA,NA,22,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.95454545,39,32.875,38,39.1115862
30,3,30,W2R1,542,2007/4/17 20:08,14.156.35.191,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,3,2,2,1,1,2,3,2,1,1,1,3,2,1,1,1,1,1,2,1,4,4,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,0,guangdong,dongguan,1,NA,-3,-3,10,NA,NA,1,10,1,1,1,1,1,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.95833333,37,24.9,23,37.18522803
31,3,31,W2R1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOW,NA,shanghai,pudong,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,3,32,W2R1,1376,2007/5/17 10:25,220.179.1.214,1,1,-3,2,-3,-3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,3,4,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NOW,0,anhui,anqing,1,NA,1,1,9,NA,NA,1,10,1,1,1,1,1,NA,NA,26,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.79166667,25,16.7,16,54.04810949
33,3,33,W2R1,544,2007/4/17 19:33,113.102.236.61,1,1,-3,1,-3,-3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NOW,0,guangdong,guangzhou,1,NA,1,1,10,NA,NA,1,10,1,2,2,1,1,NA,NA,30,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.79166667,23,18.7,18,36.10918596
34,3,34,W2R1,480,2007/5/17 11:09,218.61.30.43,2,-3,2,-3,-3,-3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,4,4,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NOW,1,liaoning,shenyang,1,NA,3,1,11,NA,NA,1,11,1,1,1,1,1,NA,NA,6,NA,NA,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.08333333,55,22,19,56.13252306
