"","iid","tr","ID_tr","begin","end","duration","belief_cost","kwh_led","kwh_cfl","yuan","belief_carbon","relative_1","relative_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income","home","own_bulb","w_price","w_life","w_energy","w_carbon","w_light","w_hg","cc_belief","cc_support_1","cc_support_2","cc_support_3","cc_support_4","cc_support_5","cc_support_6","cc_action_1","cc_action_2","cc_action_3","cc_action_4","ideal","purpose","purpose_other","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2"
"14","o34xe0_4c5hbEQpEa6ZZDwPBf_dU","M",460,"2021/1/8 16:32","2021/1/8 16:52",1165,2,60,80,20,2,NA,6,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,3,1,3,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,3,4,1,"",2,3,2,2,2,2,"中国","上海市","上海市","A.男",32,"D.大学本科",62,62
"15","o34xe0_4eljG0CX9ntEKzHwWGtB0","E",261,"2021/1/7 17:45","2021/1/7 17:48",154,2,90,90,0,1,6,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,30,3,2,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,2,2,3,8,"",2,2,1,2,2,2,"中国","广东省","深圳市","A.男",27,"E.硕士及以上",30,34
"16","o34xe0_4rU7e7KNZJ_KMq3GE1fos","E",447,"2021/1/8 6:24","2021/1/8 6:32",460,2,22,86,50,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,1,3,2,1,1,1,1,1,1,2,2,2,2,3,1,1,1,2,5,2,"",2,3,2,1,2,2,"中国","河北省","石家庄市","A.男",37,"D.大学本科",62,62
"17","o34xe0_5kIyPlomaaa6mE1yWmY8w","E",103,"2021/1/7 17:17","2021/1/7 17:25",461,3,240,260,50,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,1,3,2,2,2,3,2,1,2,2,2,2,2,2,1,2,1,3,4,9,"",2,2,2,2,2,2,"中国","陕西省","","A.男",44,"D.大学本科",14,62
"18","o34xe0_65EbeWhR4CEdiz0LxASDM","E",160,"2021/1/7 17:20","2021/1/7 17:30",552,3,86.4,80,10,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,1,1,1,2,1,2,1,2,2,2,2,3,1,2,1,2,5,2,"",3,3,2,2,2,2,"中国","广西壮族自治区","南宁市","B.女",26,"D.大学本科",2,62
"19","o34xe0_6kV4d-L6iJbaB3X0wDONs","C",381,"2021/1/7 19:07","2021/1/7 19:17",609,2,300,350,50,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,2,2,3,3,2,3,2,2,2,2,2,3,1,2,1,2,2,8,"",1,2,2,2,2,2,"中国","福建省","泉州市","A.男",39,"B.高中/中专/技校",62,62
"20","o34xe0_6r5WciBT64qSaj-TJq4CE","M",461,"2021/1/8 16:51","2021/1/8 16:53",104,3,840,840,200,2,NA,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,48,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,"",1,1,1,1,1,1,"中国","黑龙江省","","B.女",30,"D.大学本科",6,2
"21","o34xe0_7bcy7pZnY6zjx6zmF2_j8","M",49,"2021/1/7 17:19","2021/1/7 17:21",111,2,0.3,60,50,1,5,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,9,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,5,"",3,1,3,1,2,4,"中国","山东省","","A.男",37,"B.高中/中专/技校",2,30
"22","o34xe0_82VndhS_QNZAZCBboAh7g","M",248,"2021/1/7 17:39","2021/1/7 17:47",466,1,14,12,2,1,6,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,7,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,3,5,9,"",3,4,2,2,2,2,"中国","安徽省","合肥市","B.女",29,"D.大学本科",14,18
"25","o34xe0_8vsw6B3Yp2ZHvR2foVOdQ","E",349,"2021/1/7 18:20","2021/1/7 18:32",689,2,87.6,87.652,52,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,5,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,6,11,"提高环境保护意识",1,1,1,1,1,1,"中国","广东省","","A.男",38,"B.高中/中专/技校",62,62
"26","o34xe0_8yjdiTA7LBIFi2awN7fdg","M",104,"2021/1/7 17:20","2021/1/7 17:25",307,2,20,20,900,1,9,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,10,1,1,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,"",1,1,1,1,1,1,"中国","江苏省","南京市","A.男",38,"D.大学本科",38,42
"27","o34xe0_8ZNgKboFFW0iowFieyTdA","C",353,"2021/1/7 18:33","2021/1/7 18:39",348,2,1080,720,150,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,1,2,3,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,6,5,"",1,1,1,1,1,1,"中国","江苏省","苏州市","A.男",37,"C.大学专科",10,34
"28","o34xe0_a_DigPCJyZPM1ZlQUTIvg","C",42,"2021/1/7 17:17","2021/1/7 17:21",242,2,1,300,80,2,NA,7,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,3,5,"",1,1,1,1,1,1,"中国","江苏省","","A.男",28,"C.大学专科",62,62
"30","o34xe0_aU2harMsK56z44kKFjtug","C",16,"2021/1/7 17:16","2021/1/7 17:19",178,3,70,70,0,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,10,"",2,2,2,2,2,2,"中国","河北省","廊坊市","A.男",29,"C.大学专科",62,62
"31","o34xe0_B-vq_9_E2RH7y1UMa_8EI","C",379,"2021/1/7 19:12","2021/1/7 19:17",270,2,600,500,100,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,1,1,4,7,"",1,1,1,1,1,1,"中国","广东省","","B.女",37,"B.高中/中专/技校",62,62
"32","o34xe0_BafZpE6YfYZe8eqOwGzNo","E",311,"2021/1/7 18:06","2021/1/7 18:10",237,2,69,78,130,2,NA,5,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,4,9,"",1,1,2,2,2,1,"中国","河北省","廊坊市","B.女",38,"C.大学专科",42,38
"33","o34xe0_BE-ll8zBg0J2lNdTvoj90","E",133,"2021/1/7 17:21","2021/1/7 17:27",378,1,120,100,10,1,8,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,4,9,"",2,2,2,2,2,2,"中国","广东省","","B.女",28,"B.高中/中专/技校",14,14
"34","o34xe0_BRVv_zOPT3WCwI61nYzqk","M",342,"2021/1/7 18:31","2021/1/7 18:38",401,1,60,30,50,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,1,4,2,1,1,2,1,2,1,2,2,2,2,4,2,1,1,1,1,6,9,"",1,2,2,2,2,2,"新西兰","","","B.女",28,"D.大学本科",14,14
"36","o34xe0_cLlf60CSbZqC1Jx_3D5gI","E",234,"2021/1/7 17:41","2021/1/7 17:42",103,2,90,120,150,2,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,8,"",1,1,1,1,1,1,"中国","江苏省","","B.女",41,"E.硕士及以上",62,62
"37","o34xe0_CXZlKlrM6eHmZaXwqp_QA","E",432,"2021/1/7 21:33","2021/1/7 21:47",879,1,40,60,20,2,NA,4,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4.2,1,4,1,2,1,3,2,2,1,1,2,2,1,2,2,2,2,2,2,4,9,"",2,2,2,2,2,3,"中国","四川省","","B.女",29,"D.大学本科",34,34
"38","o34xe0_D5E9mdZ3BJjckxDjNPFaA","E",19,"2021/1/7 17:17","2021/1/7 17:20",190,2,240,240,240,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,7,4,4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,6,1,"",2,2,2,2,2,2,"中国","浙江省","","B.女",46,"D.大学本科",14,14
"40","o34xe0_dKGA4CyiQ4rEY47ba8wFM","E",252,"2021/1/7 17:28","2021/1/7 17:46",1075,2,29.2,58.4,30,2,NA,5,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,20,2,1,2,2,1,2,1,2,1,2,2,2,2,3,3,1,1,2,2,4,9,"",2,2,2,2,2,2,"中国","广东省","","A.男",38,"A.初中及以下",50,50
"42","o34xe0_DXUNrE7OX-NnAbLvaJd3Y","C",389,"2021/1/7 19:27","2021/1/7 19:32",294,2,183,365,183,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,6,7,"",2,2,2,2,2,2,"中国","山东省","济南市",NA,NA,NA,62,62
"43","o34xe0_dZH3l3fOtFOd6j52gZ0RM","M",317,"2021/1/7 17:49","2021/1/7 18:21",1889,3,50,40,80,2,NA,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,8,2,1,3,1,1,2,1,1,3,2,3,3,4,4,4,2,3,2,3,4,11,"碳排放",1,3,2,1,2,1,"中国","广西壮族自治区","","A.男",31,"B.高中/中专/技校",58,6
"45","o34xe0_e7pCJvJzsvrytq-YK_weg","M",146,"2021/1/7 17:27","2021/1/7 17:30",140,2,90,120,15,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,5,1,4,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,1,1,4,9,"",1,2,2,2,1,2,"中国","浙江省","","A.男",24,"D.大学本科",14,14
"46","o34xe0_E7RVJILpzo-9V7II_oeis","E",267,"2021/1/7 17:46","2021/1/7 17:50",228,2,20,20,50,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,60,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,9,"",2,2,2,2,2,2,"中国","山东省","","B.女",37,"C.大学专科",62,62
"47","o34xe0_f0VrJCq2-OHvZXj8q0AsQ","M",297,"2021/1/7 17:57","2021/1/7 18:06",558,2,87.6,87.6,0,2,NA,8,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,2,1,2,2,1,1,1,1,2,2,2,2,1,2,2,3,5,9,"",2,2,2,2,2,3,"中国","江西省","宜春市","B.女",32,"D.大学本科",62,62
"48","o34xe0_FPc03DNJtcmLh3ov5ishk","E",54,"2021/1/7 17:18","2021/1/7 17:22",291,3,1,1,0,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,3,1,1,1,1,1,3,1,3,4,2,2,3,3,4,10,"",1,3,2,2,2,1,"中国","重庆市","重庆市","A.男",39,"B.高中/中专/技校",62,62
"49","o34xe0_FZbc83MwB-PBgXB16qlp4","M",2,"2021/1/7 17:15","2021/1/7 17:16",60,2,900,9088,864,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,2,3,1,2,1,1,1,3,3,1,4,1,2,1,3,4,2,3,3,8,"",1,2,1,2,2,3,"中国","湖北省","武汉市","A.男",59,"B.高中/中专/技校",62,38
"50","o34xe0_G9004iJ9fylQpTBBO6oQM","E",104,"2021/1/7 17:17","2021/1/7 17:25",467,2,1200,2400,1200,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,1,2,2,1,3,2,2,2,2,2,2,3,2,2,1,4,5,9,"",2,3,1,2,1,3,"中国","湖北省","武汉市","B.女",26,"D.大学本科",62,62
"51","o34xe0_GEv2EXyBLEdZAi4zK7-sg","E",334,"2021/1/7 18:16","2021/1/7 18:23",432,2,87600,87600,0,3,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4.8,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,"",1,3,2,2,2,2,"中国","广东省","东莞市","B.女",22,"D.大学本科",50,62
"54","o34xe0_hklLdwbsc6_gD-y7i46VE","M",119,"2021/1/7 17:15","2021/1/7 17:26",681,2,30,44,10,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,1,3,4,1,2,1,1,1,2,2,3,4,1,2,1,3,5,8,"",2,2,2,2,2,2,"中国","北京市","北京市","A.男",26,"C.大学专科",62,62
"56","o34xe0_HOuEvo0kGua8YTJOS6eC0","E",230,"2021/1/7 17:37","2021/1/7 17:41",281,3,160,180,20,1,3,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,8,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,5,"",1,2,2,3,3,3,"中国","湖北省","黄冈市","A.男",35,"C.大学专科",34,2
"57","o34xe0_hpDOWLuJ1gZuJCEjovyhw","E",295,"2021/1/7 17:57","2021/1/7 18:01",263,2,10,10,30,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,2,1,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,6,5,"",1,4,4,4,1,1,"中国","天津市","天津市","B.女",37,"B.高中/中专/技校",62,62
"58","o34xe0_Hpv42B0NNdn7EDM-JmHog","M",48,"2021/1/7 17:15","2021/1/7 17:21",352,2,100,200,100,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,2,1,3,1,1,1,2,2,2,2,3,3,1,2,2,2,4,11,"如何从身旁应对全球变暖",1,2,2,2,2,2,"中国","宁夏回族自治区","银川市","A.男",30,"B.高中/中专/技校",62,62
"59","o34xe0_hZhl4zInew2wQ0Va7VNPI","E",397,"2021/1/7 19:38","2021/1/7 19:49",619,2,0.3,0.4,300,2,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,1,1,1,1,1,1,2,3,2,1,3,4,1,2,1,3,2,9,"",1,2,2,2,1,3,"中国","四川省","泸州市","B.女",29,"B.高中/中专/技校",62,62
"60","o34xe0_iHq54ZUqSlZEbQeRT_I_M","M",339,"2021/1/7 18:34","2021/1/7 18:37",153,2,50,60,100,1,5,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,3,"",2,1,1,2,1,1,"中国","河北省","石家庄市","B.女",29,"D.大学本科",62,2
"65","o34xe0_JGBKusJ6q54-qWBRfdk30","C",392,"2021/1/7 19:27","2021/1/7 19:35",468,2,8,16,4,2,NA,5,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,17,3,1,3,3,3,3,2,2,2,2,3,3,2,3,3,3,2,2,3,4,11,"了解人们消费心理以及对由于环保造成成本提高的承受度",2,2,3,3,3,2,"中国","陕西省","","A.男",24,"D.大学本科",14,14
"67","o34xe0_jZstif7S4avCl_Fqv9E1I","E",313,"2021/1/7 18:04","2021/1/7 18:11",394,2,160,300,40,2,NA,7,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,1,1,1,1,2,3,1,1,1,1,1,2,2,2,3,1,2,1,2,4,1,"",2,1,2,1,1,2,"中国","山东省","","A.男",34,"C.大学专科",34,34
"68","o34xe0_KGLrRx81majUShK4KW9ew","M",290,"2021/1/7 17:55","2021/1/7 18:03",479,1,87.6,87.6,0,1,9,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,20,1,1,1,3,3,3,2,1,3,2,2,2,2,2,2,2,2,3,2,4,6,"",2,3,2,2,2,1,"中国","广西壮族自治区","南宁市","A.男",35,"D.大学本科",30,6
"69","o34xe0_KIFYkd2U9p3obv8SmtdAI","E",460,"2021/1/8 12:41","2021/1/8 12:52",615,1,100,70,150,1,5,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,4,3,2,2,2,2,1,1,1,2,2,1,2,3,1,1,1,2,4,9,"",2,3,2,2,2,3,"中国","山东省","济南市","A.男",31,"E.硕士及以上",2,62
"71","o34xe0_kUculzqyFwrirEikPYxec","E",430,"2021/1/7 21:38","2021/1/7 21:45",407,3,120,100,60,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,"",1,1,1,1,1,1,"中国","湖北省","黄冈市","B.女",23,"D.大学本科",2,34
"73","o34xe0_LbQwEG3YFSh74S4UtaS9A","C",158,"2021/1/7 17:17","2021/1/7 17:29",720,3,14.6,15,50,2,NA,7,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,10,1,2,2,2,1,3,2,1,2,1,2,2,2,4,2,1,3,1,3,4,3,"",2,3,2,2,2,2,"中国","云南省","玉溪市","A.男",30,"D.大学本科",42,42
